,name,nationality,team,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,position,age,born
495,Marius Wolf,de GER,Dortmund,13.0,687,896,76.7,11614,4213,313,362,86.5,307,367,83.7,53,115,46.1,1,1.6,2.3,-0.6,11,61,16,7,59,DF,28,1995
496,Nick Woltemade,de GER,Werder Bremen,13.2,316,412,76.7,4609,1137,178,219,81.3,94,112,83.9,24,38,63.2,0,1.7,1.8,-1.7,24,22,16,1,43,"FW,MF",21,2002
497,Jeong Woo-yeong,kr KOR,Stuttgart,7.0,275,326,84.4,3475,721,188,209,90.0,57,73,78.1,12,15,80.0,3,1.6,1.6,+1.4,9,21,3,1,22,"MF,FW",23,1999
498,Granit Xhaka,ch SUI,Leverkusen,31.3,3020,3292,91.7,47359,13206,1681,1777,94.6,1063,1138,93.4,208,258,80.6,0,2.7,5.9,-2.7,41,370,54,0,392,MF,30,1992
499,Dan-Axel Zagadou,fr FRA,Stuttgart,16.1,1179,1361,86.6,21604,8514,454,493,92.1,599,661,90.6,107,174,61.5,0,0.3,0.7,-0.3,3,62,3,0,75,DF,24,1999
500,Bryan Zaragoza,es ESP,Bayern Munich,2.0,60,82,73.2,995,250,35,41,85.4,19,25,76.0,6,12,50.0,0,0.2,0.4,-0.2,4,3,6,2,9,"FW,MF",22,2001
501,Robin Zentner,de GER,Mainz 05,30.0,663,1045,63.4,20560,15846,116,117,99.1,261,269,97.0,283,648,43.7,0,0.0,0.1,0.0,1,21,0,0,1,GK,28,1994
502,Cedric Zesiger,ch SUI,Wolfsburg,18.2,943,1118,84.3,17299,6554,351,380,92.4,509,559,91.1,74,142,52.1,0,0.0,0.3,0.0,1,71,4,2,81,DF,25,1998
503,Michael Zetterer,de GER,Werder Bremen,27.0,891,1127,79.1,25285,17563,117,118,99.2,444,455,97.6,329,547,60.1,0,0.2,0.1,-0.2,3,21,1,0,3,GK,28,1995
504,Christoph Zimmermann,de GER,Darmstadt 98,13.6,455,555,82.0,9024,3318,159,179,88.8,236,266,88.7,59,95,62.1,0,0.1,0.3,-0.1,3,33,2,0,34,DF,30,1993
505,Simon Zoller,de GER,Bochum,0.5,5,8,62.5,97,0,2,3,66.7,2,2,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,"FW,MF",32,1991
506,Lovro Zvonarek,hr CRO,Bayern Munich,1.8,50,60,83.3,766,123,20,23,87.0,25,29,86.2,2,2,100.0,0,0.2,0.3,-0.2,2,5,1,0,7,"FW,MF",18,2005
