,name,nationality,team,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,position,age,born
397,Michael Olise,fr FRA,Crystal Palace,14.2,540,721,74.9,8557,2634,300,339,88.5,154,195,79.0,55,116,47.4,6,5.8,5.0,+0.2,36,43,34,3,78,"FW,MF",21,2001
398,Robin Olsen,se SWE,Aston Villa,4.5,165,203,81.3,3545,2046,49,49,100.0,89,90,98.9,26,63,41.3,0,0.0,0.0,0.0,0,1,0,0,0,GK,33,1990
399,Andrew Omobamidele,ie IRL,Nott'ham Forest,8.7,271,310,87.4,5197,1449,78,91,85.7,174,189,92.1,16,25,64.0,0,0.1,0.0,-0.1,2,9,0,0,8,DF,21,2002
400,Amadou Onana,be BEL,Everton,23.2,871,1036,84.1,14568,4039,444,499,89.0,312,357,87.4,85,115,73.9,0,2.7,1.4,-2.7,18,102,14,1,107,MF,21,2001
401,André Onana,cm CMR,Manchester Utd,38.0,1105,1521,72.6,27105,18633,279,280,99.6,547,559,97.9,267,661,40.4,0,0.1,0.1,-0.1,3,35,3,0,5,GK,27,1996
402,Ryan One,sct SCO,Sheffield Utd,0.1,1,1,100.0,7,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,FW,17,2006
403,Tyler Onyango,eng ENG,Everton,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,MF,20,2003
404,Fred Onyedinma,eng ENG,Luton Town,4.5,91,135,67.4,1431,352,45,58,77.6,42,61,68.9,2,7,28.6,0,0.1,0.1,-0.1,2,4,2,1,6,"DF,MF",26,1996
405,Frank Onyeka,ng NGA,Brentford,12.9,299,396,75.5,4662,1127,159,181,87.8,114,152,75.0,18,35,51.4,2,1.8,1.4,+0.2,12,23,11,5,33,MF,25,1998
406,Divock Origi,be BEL,Nott'ham Forest,6.7,92,144,63.9,1357,327,59,82,72.0,19,32,59.4,9,13,69.2,1,2.1,0.8,-1.1,7,7,5,1,14,FW,28,1995
407,Stefan Ortega,de GER,Manchester City,7.1,213,266,80.1,4942,3526,58,58,100.0,108,110,98.2,46,96,47.9,0,0.0,0.0,0.0,0,2,0,0,0,GK,30,1992
408,Ben Osborn,eng ENG,Sheffield Utd,15.2,448,608,73.7,7007,2650,253,281,90.0,145,194,74.7,35,90,38.9,2,0.9,0.9,+1.1,13,34,11,8,55,"DF,MF",28,1994
409,Gabriel Osho,ng NGA,Luton Town,20.5,580,706,82.2,10931,4019,195,222,87.8,342,384,89.1,41,87,47.1,0,0.1,0.2,-0.1,2,30,3,1,37,DF,24,1998
410,William Osula,dk DEN,Sheffield Utd,8.7,49,93,52.7,592,88,33,56,58.9,8,20,40.0,2,5,40.0,0,0.1,0.2,-0.1,1,3,2,1,2,FW,19,2003
411,Dango Ouattara,bf BFA,Bournemouth,13.7,371,558,66.5,5941,1943,190,255,74.5,147,201,73.1,25,57,43.9,2,1.5,1.4,+0.5,17,25,11,5,35,"FW,DF",21,2002
412,David Ozoh,eng ENG,Crystal Palace,1.7,48,51,94.1,695,112,21,22,95.5,25,25,100.0,0,0,,0,0.0,0.0,0.0,0,3,0,0,4,"MF,DF",18,2005
413,João Palhinha,pt POR,Fulham,30.0,1098,1333,82.4,19131,5348,522,586,89.1,449,503,89.3,101,163,62.0,1,0.8,1.0,+0.2,13,96,7,1,97,MF,28,1995
414,Cole Palmer,eng ENG,Chelsea,29.0,1121,1415,79.2,18622,5642,574,636,90.3,407,479,85.0,101,186,54.3,11,11.1,8.7,-0.1,72,136,69,5,197,"FW,MF",21,2002
415,Cole Palmer,eng ENG,Manchester City,0.1,4,5,80.0,51,0,2,2,100.0,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,MF,21,2002
416,Emerson Palmieri,it ITA,West Ham,34.9,1421,1745,81.4,19356,7676,893,983,90.8,406,510,79.6,54,104,51.9,2,2.4,2.1,-0.4,25,89,22,7,125,DF,28,1994
417,Lucas Paquetá,br BRA,West Ham,29.1,1082,1465,73.9,16561,5842,598,714,83.8,334,435,76.8,95,173,54.9,6,5.4,5.1,+0.6,43,143,50,8,187,"FW,MF",25,1997
418,Ben Parkinson,eng ENG,Newcastle Utd,0.3,1,3,33.3,15,0,0,1,0.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,FW,18,2005
419,Thomas Partey,gh GHA,Arsenal,8.8,570,636,89.6,9177,2564,298,321,92.8,224,243,92.2,37,54,68.5,0,0.3,0.6,-0.3,6,61,14,2,72,"MF,DF",30,1993
420,Nathan Patterson,sct SCO,Everton,11.2,393,550,71.5,6185,2761,219,252,86.9,124,182,68.1,38,86,44.2,2,1.7,1.0,+0.3,8,30,14,6,38,DF,21,2001
