,name,nationality,team,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,position,age,born
485,Saúl Ñíguez,es ESP,es Atlético Madrid,4.8,176,220,80.0,2342,602,107,123,87.0,55,65,84.6,4,6,66.7,0,0.1,0.2,-0.1,3,14,3,0,12,MF,28,1994
486,Eddie Nketiah,eng ENG,eng Arsenal,1.6,34,42,81.0,388,18,21,23,91.3,8,9,88.9,0,0,,0,0.0,0.2,0.0,1,0,1,0,1,FW,24,1999
487,Felix Nmecha,de GER,de Dortmund,3.9,89,120,74.2,1299,396,58,72,80.6,21,28,75.0,6,11,54.5,0,0.2,0.1,-0.2,5,12,1,0,12,MF,22,2000
488,Jean-Pierre Nsame,cm CMR,ch Young Boys,1.8,25,43,58.1,400,110,15,23,65.2,9,16,56.3,1,2,50.0,1,0.7,0.3,+0.3,3,6,0,0,6,FW,30,1993
489,Matheus Nunes,pt POR,eng Manchester City,4.7,294,323,91.0,4098,790,194,209,92.8,81,85,95.3,11,16,68.8,1,1.2,1.7,-0.2,13,22,11,1,36,"MF,FW",24,1998
490,Ørjan Nyland,no NOR,es Sevilla,2.0,64,83,77.1,1875,1301,11,11,100.0,29,29,100.0,24,43,55.8,0,0.0,0.0,0.0,0,0,0,0,0,GK,32,1990
491,Matt O'Riley,dk DEN,sct Celtic,5.4,178,230,77.4,2700,694,102,118,86.4,53,62,85.5,16,28,57.1,3,2.3,1.7,+0.7,15,12,6,1,26,MF,22,2000
492,Armando Obispo,nl NED,nl PSV Eindhoven,1.0,60,69,87.0,1328,455,13,13,100.0,38,40,95.0,9,13,69.2,0,0.0,0.0,0.0,0,8,0,0,7,DF,24,1999
493,Jan Oblak,si SVN,es Atlético Madrid,10.3,202,279,72.4,5458,3788,29,29,100.0,109,111,98.2,63,137,46.0,0,0.0,0.0,0.0,0,2,0,0,0,GK,30,1993
494,Lucas Ocampos,ar ARG,es Sevilla,3.8,84,132,63.6,1331,395,40,54,74.1,39,58,67.2,3,8,37.5,0,0.5,0.5,-0.5,4,5,6,2,19,FW,29,1994
495,Álvaro Odriozola,es ESP,es Real Sociedad,1.1,53,60,88.3,928,147,20,21,95.2,24,26,92.3,7,7,100.0,0,0.0,0.0,0.0,1,1,0,0,2,"DF,FW",27,1995
496,Noah Okafor,ch SUI,it Milan,0.4,4,6,66.7,55,30,3,3,100.0,1,3,33.3,0,0,,1,0.2,0.0,+0.8,1,0,1,0,2,FW,23,2000
497,Olasagasti,es ESP,es Real Sociedad,0.1,2,4,50.0,14,0,1,1,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,MF,22,2000
498,Peter Olayinka,ng NGA,rs Red Star,1.9,30,52,57.7,360,93,21,25,84.0,6,13,46.2,0,4,0.0,0,0.0,0.0,0.0,1,1,2,0,5,"DF,FW",27,1995
499,Sérgio Oliveira,pt POR,tr Galatasaray,1.4,69,93,74.2,1211,414,40,44,90.9,15,27,55.6,11,15,73.3,1,0.4,0.3,+0.6,5,13,2,0,17,MF,31,1992
500,Mathías Olivera,uy URU,it Napoli,3.6,180,215,83.7,2546,917,114,125,91.2,47,56,83.9,14,17,82.4,0,0.3,0.5,-0.3,6,12,4,2,16,DF,25,1997
501,Dani Olmo,es ESP,de RB Leipzig,2.0,64,84,76.2,870,341,45,51,88.2,13,19,68.4,5,8,62.5,0,0.3,0.2,-0.3,3,11,4,0,10,MF,25,1998
502,André Onana,cm CMR,eng Manchester Utd,6.0,167,229,72.9,4841,3337,34,34,100.0,72,75,96.0,60,119,50.4,0,0.0,0.0,0.0,0,12,0,0,1,GK,27,1996
503,Loïs Openda,be BEL,de RB Leipzig,6.1,69,101,68.3,994,147,41,54,75.9,21,26,80.8,3,5,60.0,0,0.6,0.3,-0.6,4,2,4,0,10,FW,23,2000
504,Fredrik Oppegard,no NOR,nl PSV Eindhoven,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,FW,20,2002
505,Willi Orban,hu HUN,de RB Leipzig,2.0,136,148,91.9,2294,991,57,61,93.4,68,72,94.4,7,7,100.0,0,0.1,0.1,-0.1,1,5,0,0,6,DF,30,1992
506,Stefan Ortega,de GER,eng Manchester City,3.0,143,173,82.7,3297,2274,43,44,97.7,63,64,98.4,37,64,57.8,0,0.0,0.0,0.0,0,1,0,0,0,GK,30,1992
507,Victor Osimhen,ng NGA,it Napoli,5.1,57,80,71.3,736,94,44,53,83.0,6,11,54.5,4,8,50.0,0,0.7,0.6,-0.7,5,1,1,0,3,FW,24,1998
508,Nicolás Otamendi,ar ARG,pt Benfica,6.0,276,322,85.7,5480,2065,91,105,86.7,147,161,91.3,35,48,72.9,1,0.4,0.1,+0.6,3,13,0,0,23,DF,35,1988
509,Mikel Oyarzabal,es ESP,es Real Sociedad,6.5,121,148,81.8,1785,244,62,73,84.9,41,45,91.1,7,10,70.0,0,0.5,0.2,-0.5,8,3,3,0,8,"FW,MF",26,1997
510,Salih Özcan,tr TUR,de Dortmund,4.9,195,232,84.1,3019,811,104,116,89.7,76,82,92.7,9,16,56.3,0,0.2,0.2,-0.2,4,18,3,1,13,MF,25,1998
511,Jon Pacheco,es ESP,es Real Sociedad,1.4,64,71,90.1,1335,403,17,17,100.0,38,40,95.0,8,13,61.5,0,0.0,0.0,0.0,0,5,0,0,8,DF,22,2001
512,Igor Paixão,br BRA,nl Feyenoord,4.4,107,151,70.9,1651,537,61,78,78.2,37,48,77.1,7,18,38.9,0,1.5,1.5,-1.5,8,5,5,2,12,FW,23,2000
513,Thomas Partey,gh GHA,eng Arsenal,0.1,8,10,80.0,141,95,5,6,83.3,2,2,100.0,1,1,100.0,0,0.0,0.0,0.0,0,2,1,0,1,MF,30,1993
