,name,nationality,team,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,position,age,born
354,Răzvan Marin,ro ROU,Empoli,20.2,671,907,74.0,12562,4126,289,338,85.5,265,315,84.1,99,212,46.7,3,3.0,2.9,0.0,33,62,13,6,72,MF,28-010,1996
355,Agustín Martegani,ar ARG,Salernitana,8.1,248,297,83.5,3504,949,148,160,92.5,73,87,83.9,13,20,65.0,0,0.5,0.4,-0.5,6,29,4,0,28,MF,24-013,2000
356,Aarón Martín,es ESP,Genoa,15.3,431,619,69.6,7748,2727,195,216,90.3,169,227,74.4,54,128,42.2,1,1.7,1.7,-0.7,26,26,16,11,35,DF,27-041,1997
357,Josep Martinez,es ESP,Genoa,36.0,1017,1430,71.1,30756,22375,123,125,98.4,498,513,97.1,392,777,50.5,0,0.0,0.1,0.0,1,37,0,0,2,GK,26-006,1998
358,Lautaro Martínez,ar ARG,Inter,29.5,604,782,77.2,8821,2104,328,393,83.5,194,232,83.6,41,59,69.5,3,3.6,2.0,-0.6,36,45,21,2,80,FW,26-285,1997
359,Lucas Martínez Quarta,ar ARG,Fiorentina,24.5,1322,1619,81.7,27212,11288,445,473,94.1,675,757,89.2,191,341,56.0,0,0.8,1.0,-0.8,13,157,18,2,173,DF,28-023,1996
360,Adam Marušić,me MNE,Lazio,34.4,1560,1880,83.0,24140,9157,843,935,90.2,582,704,82.7,89,159,56.0,0,0.8,1.1,-0.8,10,110,24,11,118,DF,31-229,1992
361,Adam Masina,ma MAR,Udinese,0.7,22,30,73.3,345,153,12,15,80.0,8,9,88.9,2,4,50.0,0,0.0,0.0,0.0,0,0,0,0,1,DF,30-152,1994
362,Adam Masina,ma MAR,Torino,11.4,557,652,85.4,9669,4033,236,259,91.1,275,317,86.8,37,61,60.7,0,0.2,0.4,-0.2,3,35,4,0,42,DF,30-152,1994
363,Alan Matturro,uy URU,Genoa,1.2,16,25,64.0,260,134,7,8,87.5,7,8,87.5,1,6,16.7,0,0.0,0.0,0.0,0,3,0,0,4,DF,19-235,2004
364,Luca Mazzitelli,it ITA,Frosinone,24.6,974,1309,74.4,16656,5947,446,517,86.3,380,482,78.8,104,222,46.8,0,1.1,0.9,-1.1,13,131,14,2,167,MF,28-200,1995
365,Pasquale Mazzocchi,it ITA,Salernitana,14.1,460,635,72.4,6631,3051,276,317,87.1,149,210,71.0,20,68,29.4,1,1.3,1.0,-0.3,14,30,16,10,36,DF,28-311,1995
366,Pasquale Mazzocchi,it ITA,Napoli,4.8,225,276,81.5,3611,1120,136,148,91.9,74,100,74.0,15,24,62.5,1,0.2,0.3,+0.8,3,18,6,3,24,DF,28-311,1995
367,Jordi Mboula,es ESP,Hellas Verona,3.4,46,69,66.7,671,104,23,29,79.3,14,16,87.5,4,8,50.0,1,0.4,0.1,+0.6,3,1,0,0,4,"FW,MF",25-078,1999
368,Weston McKennie,us USA,Juventus,28.8,898,1172,76.6,15437,4433,456,541,84.3,328,430,76.3,104,148,70.3,7,3.9,3.2,+3.1,41,52,28,11,92,"MF,DF",25-279,1998
369,Arthur Melo,br BRA,Fiorentina,22.1,1372,1502,91.3,26644,6117,466,504,92.5,724,763,94.9,168,202,83.2,3,1.7,2.3,+1.3,34,143,16,4,133,MF,27-295,1996
370,Leonardo Mendicino,it ITA,Atalanta,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,MF,17-343,2006
371,Alex Meret,it ITA,Napoli,30.8,769,914,84.1,18457,10706,137,137,100.0,447,452,98.9,185,321,57.6,0,0.1,0.0,-0.1,1,1,0,0,0,GK,27-072,1997
372,Junior Messias,br BRA,Genoa,11.7,245,337,72.7,3861,1103,120,143,83.9,92,125,73.6,17,39,43.6,0,1.3,1.2,-1.3,15,24,12,5,29,"MF,DF",33-020,1991
373,Nikola Milenković,rs SRB,Fiorentina,27.9,1341,1584,84.7,27355,9362,395,465,84.9,777,838,92.7,159,235,67.7,0,0.7,0.9,-0.7,8,73,0,0,81,DF,26-234,1997
374,Arkadiusz Milik,pl POL,Juventus,10.2,215,270,79.6,3059,448,129,156,82.7,67,86,77.9,11,14,78.6,1,2.6,0.7,-1.6,15,8,8,0,22,FW,30-095,1994
375,Vanja Milinković-Savić,rs SRB,Torino,36.0,984,1536,64.1,30924,23394,132,133,99.2,485,489,99.2,367,904,40.6,0,0.0,0.1,0.0,0,45,0,0,0,GK,27-103,1997
376,Yerry Mina,co COL,Fiorentina,0.5,15,17,88.2,301,117,7,7,100.0,6,8,75.0,2,2,100.0,0,0.0,0.0,0.0,0,2,0,0,2,"DF,MF",29-253,1994
377,Yerry Mina,co COL,Cagliari,13.5,448,562,79.7,9321,3323,127,144,88.2,257,291,88.3,61,114,53.5,0,0.0,0.2,0.0,0,15,4,1,23,DF,29-253,1994
378,Aleksei Miranchuk,ru RUS,Atalanta,12.7,436,600,72.7,7346,2207,207,243,85.2,166,203,81.8,44,105,41.9,5,3.8,4.3,+1.2,44,39,28,8,72,"MF,FW",28-229,1995
379,Kevin Miranda,it ITA,Sassuolo,0.2,9,10,90.0,165,43,3,3,100.0,5,6,83.3,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,DF,21-084,2003
380,Antonio Mirante,it ITA,Milan,2.0,41,54,75.9,990,673,7,7,100.0,26,26,100.0,8,21,38.1,0,0.0,0.0,0.0,0,0,0,0,0,GK,40-330,1983
381,Fabio Miretti,it ITA,Juventus,12.3,344,449,76.6,5815,1453,160,190,84.2,142,171,83.0,31,58,53.4,1,1.1,1.2,-0.1,24,31,12,2,43,MF,20-304,2003
382,Filippo Missori,it ITA,Sassuolo,3.0,89,113,78.8,1575,527,40,44,90.9,38,48,79.2,10,17,58.8,0,0.0,0.1,0.0,2,5,2,2,8,DF,20-070,2004
383,Stefan Mitrović,rs SRB,Hellas Verona,4.3,77,105,73.3,1207,290,45,50,90.0,23,31,74.2,7,12,58.3,0,0.1,0.2,-0.1,3,10,2,1,15,"FW,MF",21-292,2002
384,Henrikh Mkhitaryan,am ARM,Inter,30.9,1453,1679,86.5,22035,5728,814,886,91.9,483,536,90.1,95,137,69.3,8,4.5,4.3,+3.5,40,147,46,1,192,MF,35-133,1989
385,Ilario Monterisi,it ITA,Frosinone,16.3,802,997,80.4,13842,6423,350,392,89.3,379,447,84.8,60,123,48.8,2,0.4,0.3,+1.6,5,47,7,1,47,DF,22-166,2001
386,Lorenzo Montipò,it ITA,Hellas Verona,37.0,783,1272,61.6,28541,23677,96,97,99.0,285,297,96.0,401,870,46.1,1,0.0,0.2,+1.0,1,49,1,0,0,GK,28-103,1996
387,Nikola Moro,hr CRO,Bologna,9.3,469,572,82.0,8059,1920,227,258,88.0,182,211,86.3,47,66,71.2,0,0.4,0.8,-0.4,11,59,10,3,58,MF,26-082,1998
388,Dany Mota,pt POR,Monza,22.8,625,836,74.8,10962,1870,316,373,84.7,222,289,76.8,75,108,69.4,3,3.0,3.1,0.0,34,29,21,11,57,"FW,MF",26-031,1998
389,Samuele Mulattieri,it ITA,Sassuolo,5.1,81,116,69.8,1042,85,49,67,73.1,26,31,83.9,1,5,20.0,0,0.3,0.5,-0.3,6,4,0,0,1,"FW,MF",23-239,2000
390,Luis Muriel,co COL,Atalanta,4.5,170,241,70.5,2821,831,93,117,79.5,56,75,74.7,18,34,52.9,1,1.7,1.4,-0.7,15,17,11,5,24,"FW,MF",33-047,1991
391,Yunus Musah,us USA,Milan,16.4,566,666,85.0,8391,2146,324,352,92.0,200,232,86.2,27,41,65.9,2,1.2,0.7,+0.8,14,45,15,4,64,"MF,FW",21-186,2002
392,Juan Musso,ar ARG,Atalanta,11.0,278,371,74.9,7215,4905,55,55,100.0,148,150,98.7,74,163,45.4,0,0.0,0.0,0.0,0,3,0,0,0,GK,30-027,1994
393,Kingstone Mutandwa,zm ZAM,Cagliari,0.4,3,9,33.3,48,0,2,4,50.0,1,4,25.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,"FW,MF",21-149,2003
394,Obite N'Dicka,ci CIV,Roma,24.1,1437,1587,90.5,24097,8613,655,676,96.9,687,735,93.5,79,148,53.4,3,1.0,0.5,+2.0,6,74,3,1,87,DF,24-287,1999
395,Nahitan Nández,uy URU,Cagliari,26.0,544,916,59.4,9670,3591,265,341,77.7,189,301,62.8,72,205,35.1,3,2.5,2.5,+0.5,43,47,31,15,76,"MF,DF",28-157,1995
396,Natan,br BRA,Napoli,10.6,581,666,87.2,10893,2971,219,230,95.2,298,320,93.1,61,103,59.2,0,0.1,0.2,-0.1,4,35,5,1,34,DF,23-117,2001
397,Lapo Nava,it ITA,Milan,0.0,1,1,100.0,43,43,0,0,,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,GK,20-132,2004
398,Michel Ndary Adopo,fr FRA,Atalanta,1.2,74,89,83.1,1138,292,35,43,81.4,33,37,89.2,2,2,100.0,1,0.1,0.2,+0.9,2,8,0,0,9,MF,23-319,2000
399,Dan Ndoye,ch SUI,Bologna,19.7,467,602,77.6,6997,1298,268,307,87.3,138,172,80.2,34,57,59.6,1,1.8,1.2,-0.8,22,25,13,5,36,"FW,MF",23-221,2000
400,Cyril Ngonge,be BEL,Hellas Verona,15.9,234,361,64.8,4279,1264,104,147,70.7,91,120,75.8,32,61,52.5,2,1.7,1.6,+0.3,21,25,13,8,44,"FW,MF",24-007,2000
401,Cyril Ngonge,be BEL,Napoli,3.5,107,144,74.3,1788,439,58,65,89.2,37,50,74.0,11,23,47.8,0,0.8,0.5,-0.8,9,8,5,2,11,FW,24-007,2000
402,M'Baye Niang,sn SEN,Empoli,7.9,90,140,64.3,1379,305,50,72,69.4,28,39,71.8,8,18,44.4,1,0.9,0.2,+0.1,9,8,3,2,11,FW,29-166,1994
403,Hans Nicolussi Caviglia,it ITA,Juventus,3.0,107,136,78.7,2137,714,56,61,91.8,33,43,76.7,18,28,64.3,1,0.6,0.8,+0.4,8,16,1,0,14,MF,23-350,2000
404,Joseph Nonge,be BEL,Juventus,0.3,7,9,77.8,157,25,3,3,100.0,2,4,50.0,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,2,MF,19-018,2005
405,Tijjani Noslin,nl NED,Hellas Verona,14.9,235,338,69.5,3048,641,140,178,78.7,69,103,67.0,6,15,40.0,4,2.2,1.0,+1.8,26,18,13,4,26,"FW,MF",24-331,1999
406,Simeon Nwankwo,ng NGA,Salernitana,7.6,83,133,62.4,1082,151,52,76,68.4,22,27,81.5,2,2,100.0,0,0.6,0.4,-0.6,5,8,1,0,7,FW,32-026,1992
407,M'Bala Nzola,ao ANG,Fiorentina,17.2,283,345,82.0,3818,590,185,213,86.9,64,79,81.0,15,17,88.2,3,1.6,1.6,+1.4,21,16,13,0,29,FW,27-289,1996
408,Adam Obert,sk SVK,Cagliari,10.5,372,474,78.5,7539,2700,144,162,88.9,169,197,85.8,57,100,57.0,0,0.9,0.7,-0.9,6,40,10,6,37,DF,21-284,2002
409,Pedro Obiang,gq EQG,Sassuolo,5.0,152,188,80.9,2551,813,72,79,91.1,66,77,85.7,11,21,52.4,0,0.7,0.4,-0.7,5,10,4,0,21,MF,32-067,1992
410,Guillermo Ochoa,mx MEX,Salernitana,21.0,393,652,60.3,11569,8217,59,59,100.0,182,183,99.5,152,407,37.3,0,0.0,0.1,0.0,0,7,1,0,0,GK,38-325,1985
411,Jens Odgaard,dk DEN,Bologna,4.8,94,135,69.6,1306,181,54,63,85.7,34,46,73.9,2,7,28.6,0,0.1,0.1,-0.1,2,4,2,0,9,"FW,MF",25-063,1999
412,Noah Okafor,ch SUI,Milan,9.9,120,193,62.2,1802,438,56,84,66.7,52,73,71.2,4,14,28.6,2,1.2,0.5,+0.8,8,3,9,3,15,"FW,MF",24-009,2000
413,David Okereke,ng NGA,Torino,2.8,72,92,78.3,1089,175,31,38,81.6,37,42,88.1,1,3,33.3,0,0.1,0.3,-0.1,2,0,1,1,7,"FW,MF",26-278,1997
414,Caleb Okoli,it ITA,Frosinone,32.4,1407,1720,81.8,25428,10828,569,640,88.9,708,794,89.2,113,234,48.3,1,0.8,0.3,+0.2,5,86,3,0,118,DF,22-325,2001
415,Maduka Okoye,ng NGA,Udinese,21.0,275,451,61.0,9258,7764,68,68,100.0,90,90,100.0,116,285,40.7,0,0.0,0.0,0.0,0,10,0,0,0,GK,24-279,1999
416,Mathías Olivera,uy URU,Napoli,17.4,1024,1175,87.1,15322,5299,600,638,94.0,354,406,87.2,49,77,63.6,1,0.9,1.3,+0.1,19,83,16,7,89,DF,26-215,1997
417,Gaetano Oristanio,it ITA,Cagliari,12.3,164,242,67.8,2772,783,90,110,81.8,47,69,68.1,20,39,51.3,1,1.1,1.0,-0.1,15,15,11,7,26,"FW,MF",21-248,2002
418,Riccardo Orsolini,it ITA,Bologna,19.9,490,731,67.0,8021,2233,269,312,86.2,142,219,64.8,59,121,48.8,2,4.4,3.9,-2.4,36,22,22,4,71,"FW,MF",27-130,1997
419,Victor Osimhen,ng NGA,Napoli,22.0,194,290,66.9,2461,399,120,158,75.9,52,72,72.2,4,13,30.8,3,3.1,0.9,-0.1,23,12,6,0,23,FW,25-156,1998
420,Remi Oudin,fr FRA,Lecce,20.2,497,804,61.8,11002,4033,174,223,78.0,189,266,71.1,124,261,47.5,2,5.7,4.0,-3.7,58,59,13,6,79,"MF,FW",27-197,1996
421,Anthony Oyono,ga GAB,Frosinone,13.3,518,621,83.4,7039,2371,329,354,92.9,138,174,79.3,24,49,49.0,1,0.9,0.7,+0.1,10,29,5,3,33,DF,23-051,2001
