,name,nationality,team,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,position,age,born
299,Anthony Lopes,pt POR,Lyon,31.0,773,1035,74.7,20175,14006,146,146,100.0,392,398,98.5,231,487,47.4,0,0.3,0.2,-0.3,1,9,1,0,1,GK,33-245,1990
300,Pau López,es ESP,Marseille,32.7,924,1195,77.3,21981,14438,212,213,99.5,499,506,98.6,202,462,43.7,0,0.5,0.1,-0.5,2,19,2,0,0,GK,29-172,1994
301,Jordan Lotomba,ch SUI,Nice,20.0,834,994,83.9,11866,3883,473,541,87.4,297,345,86.1,21,43,48.8,0,1.1,1.3,-1.1,12,36,14,5,52,DF,25-247,1998
302,Tom Louchet,fr FRA,Nice,4.5,195,257,75.9,2973,772,102,119,85.7,72,87,82.8,13,33,39.4,1,0.7,0.7,+0.3,7,9,5,2,18,"MF,DF",21-029,2003
303,Imran Louza,ma MAR,Lorient,9.6,465,583,79.8,8875,3020,177,202,87.6,217,252,86.1,62,107,57.9,3,2.5,2.4,+0.5,25,65,15,1,83,MF,25-032,1999
304,Dejan Lovren,hr CRO,Lyon,8.0,371,440,84.3,7463,2174,104,127,81.9,215,232,92.7,42,66,63.6,0,0.0,0.1,0.0,1,24,0,0,20,DF,34-333,1989
305,Joshua M'Bahia,ci CIV,Clermont Foot,0.2,12,15,80.0,165,39,5,6,83.3,6,8,75.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,1,MF,19-044,2005
306,Othmane Maamma,fr FRA,Montpellier,1.0,25,32,78.1,394,47,16,18,88.9,8,11,72.7,1,2,50.0,0,0.5,0.1,-0.5,3,1,1,0,2,FW,18-240,2005
307,Deiver Machado,co COL,Lens,12.5,383,488,78.5,5645,1674,218,247,88.3,138,170,81.2,13,37,35.1,0,1.3,1.1,-1.3,13,27,11,5,26,DF,30-274,1993
308,Soungoutou Magassa,fr FRA,Monaco,15.0,871,998,87.3,16582,5928,300,331,90.6,470,511,92.0,87,129,67.4,0,0.1,0.5,-0.1,2,86,2,1,92,"DF,MF",20-238,2003
309,Hugo Magnetti,fr FRA,Brest,26.0,1008,1143,88.2,16762,3382,435,491,88.6,464,499,93.0,64,87,73.6,0,1.8,2.5,-1.8,24,92,13,7,101,MF,26-003,1998
310,Yohann Magnin,fr FRA,Clermont Foot,18.7,698,836,83.5,12081,2932,313,368,85.1,290,333,87.1,72,95,75.8,0,0.7,1.1,-0.7,9,59,7,4,71,MF,26-347,1997
311,Frank Magri,cm CMR,Toulouse,16.0,231,333,69.4,3287,906,126,164,76.8,86,124,69.4,4,12,33.3,2,1.6,1.1,+0.4,14,21,13,4,34,"FW,MF",24-272,1999
312,Adel Mahamoud,km COM,Nantes,0.1,2,4,50.0,32,18,0,2,0.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,2,FW,21-119,2003
313,Habib Maïga,ci CIV,Metz,1.6,47,63,74.6,726,215,18,22,81.8,22,29,75.9,3,6,50.0,0,0.0,0.0,0.0,0,3,0,0,3,"MF,FW",28-153,1996
314,Ainsley Maitland-Niles,eng ENG,Lyon,15.9,663,796,83.3,10343,3289,350,387,90.4,241,285,84.6,44,71,62.0,4,2.1,1.5,+1.9,18,45,17,3,76,"DF,MF",26-278,1997
315,Radosław Majecki,pl POL,Monaco,12.0,277,376,73.7,6996,5167,55,55,100.0,148,150,98.7,73,170,42.9,0,0.0,0.0,0.0,0,1,0,0,1,GK,24-199,1999
316,Lovro Majer,hr CRO,Rennes,0.2,14,16,87.5,277,96,7,8,87.5,5,6,83.3,2,2,100.0,0,0.3,0.1,-0.3,2,1,0,0,0,MF,26-137,1998
317,Jean-Victor Makengo,fr FRA,Lorient,5.3,244,277,88.1,3368,718,135,147,91.8,90,97,92.8,3,11,27.3,0,0.0,0.2,0.0,0,16,5,1,28,"MF,FW",25-356,1998
318,Aaron Malouda,fr FRA,Lille,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,FW,18-185,2005
319,Hianga Mananga Mbock,fr FRA,Brest,0.1,6,7,85.7,108,29,2,2,100.0,4,5,80.0,0,0,,0,0.2,0.1,-0.2,1,0,1,0,2,"MF,FW",24-157,1999
320,Steve Mandanda,fr FRA,Rennes,34.0,885,1209,73.2,23102,15904,162,163,99.4,480,488,98.4,241,556,43.3,0,0.0,0.0,0.0,0,8,0,0,2,GK,39-066,1985
321,Orel Mangala,be BEL,Lyon,4.4,154,182,84.6,2433,634,66,77,85.7,66,72,91.7,11,17,64.7,0,0.7,0.6,-0.7,7,17,2,0,26,MF,26-076,1998
322,Vito Mannone,it ITA,Lille,1.0,27,38,71.1,772,553,5,5,100.0,13,13,100.0,9,20,45.0,0,0.0,0.0,0.0,0,2,0,0,0,GK,36-092,1988
323,Faitout Maouassa,fr FRA,Lens,0.8,20,29,69.0,313,129,12,17,70.6,6,7,85.7,1,3,33.3,0,0.1,0.1,-0.1,2,0,1,1,0,"MF,DF",25-332,1998
324,Guillermo Maripán,cl CHI,Monaco,19.6,934,1054,88.6,18953,6908,232,262,88.5,582,622,93.6,105,143,73.4,0,0.5,0.2,-0.5,4,51,1,0,59,DF,30-027,1994
325,Marquinhos,br BRA,Nantes,1.7,50,67,74.6,768,223,30,37,81.1,18,21,85.7,2,6,33.3,0,0.7,0.7,-0.7,5,2,4,2,4,"FW,MF",21-056,2003
326,Marquinhos,br BRA,Paris S-G,17.1,1706,1807,94.4,31879,9264,556,573,97.0,981,1008,97.3,141,190,74.2,1,0.5,0.7,+0.5,9,165,5,0,114,DF,30-019,1994
327,Jonas Martin,fr FRA,Brest,13.4,839,962,87.2,14484,3556,361,416,86.8,365,396,92.2,77,97,79.4,1,0.9,0.9,+0.1,15,83,4,0,105,MF,34-054,1990
328,Clinton Mata,ao ANG,Lyon,24.7,1286,1514,84.9,20444,7341,635,699,90.8,526,574,91.6,76,164,46.3,3,2.2,2.7,+0.8,14,80,18,12,97,DF,31-208,1992
329,Eliot Matazo,be BEL,Monaco,1.1,50,63,79.4,817,348,24,28,85.7,19,26,73.1,5,7,71.4,1,1.0,0.7,0.0,2,5,1,0,10,MF,22-108,2002
330,Nemanja Matić,rs SRB,Rennes,11.4,695,804,86.4,13054,4052,239,274,87.2,331,357,92.7,95,125,76.0,0,0.8,0.9,-0.8,12,88,8,2,83,MF,35-306,1988
331,Nemanja Matić,rs SRB,Lyon,13.9,845,989,85.4,14848,4926,365,404,90.3,364,398,91.5,86,128,67.2,0,0.6,1.3,-0.6,7,103,12,0,118,MF,35-306,1988
332,Chrislain Matsima,fr FRA,Clermont Foot,13.1,569,655,86.9,9651,3929,238,262,90.8,287,312,92.0,27,56,48.2,0,0.0,0.1,0.0,0,34,1,0,45,DF,22-018,2002
333,Chrislain Matsima,fr FRA,Monaco,3.3,215,231,93.1,3943,1598,75,84,89.3,120,124,96.8,15,17,88.2,1,0.1,0.1,+0.9,3,39,0,0,31,DF,22-018,2002
334,Azor Matusiwa,nl NED,Reims,15.4,650,750,86.7,11790,3104,236,283,83.4,308,328,93.9,73,92,79.3,0,0.7,0.5,-0.7,15,65,5,0,78,MF,26-035,1998
335,Azor Matusiwa,nl NED,Rennes,8.8,398,454,87.7,7072,2381,160,187,85.6,186,203,91.6,40,46,87.0,1,0.4,0.4,+0.6,10,61,5,1,64,MF,26-035,1998
336,Aïman Maurer,ma MAR,Clermont Foot,0.6,21,29,72.4,304,40,14,17,82.4,7,11,63.6,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,2,"MF,FW",19-251,2004
337,Christian Mawissa,fr FRA,Toulouse,12.4,511,617,82.8,8500,2791,234,261,89.7,243,280,86.8,27,59,45.8,0,0.3,0.4,-0.3,3,28,4,1,39,DF,19-045,2005
338,Noam Mayoka-Tika,be BEL,Marseille,0.0,1,1,100.0,22,8,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,MF,20-213,2003
339,Senny Mayulu,fr FRA,Paris S-G,3.6,145,175,82.9,2073,370,82,96,85.4,51,59,86.4,5,6,83.3,1,0.5,0.5,+0.5,6,13,7,3,11,"FW,MF",18-016,2006
340,Youssef Maziz,fr FRA,Metz,1.4,30,39,76.9,628,220,10,11,90.9,14,16,87.5,5,10,50.0,0,0.1,0.1,-0.1,3,4,0,0,6,"FW,MF",25-344,1998
341,Ethan Mbappé,fr FRA,Paris S-G,0.5,42,46,91.3,603,187,20,21,95.2,17,20,85.0,1,1,100.0,0,0.0,0.0,0.0,0,4,1,0,1,"MF,DF",17-156,2006
342,Kylian Mbappé,fr FRA,Paris S-G,24.0,801,965,83.0,12061,2391,472,536,88.1,235,288,81.6,55,67,82.1,7,5.7,5.2,+1.3,40,73,44,1,122,FW,25-165,1998
343,Malick Mbaye,sn SEN,Metz,1.7,34,54,63.0,683,120,14,23,60.9,12,21,57.1,6,7,85.7,0,0.2,0.2,-0.2,2,1,1,1,1,"MF,FW",20-057,2004
344,Chancel Mbemba,cd COD,Marseille,24.5,1222,1398,87.4,24175,8626,372,410,90.7,701,770,91.0,130,188,69.1,2,1.0,1.5,+1.0,7,124,11,3,131,DF,29-299,1994
345,Nolan Mbemba,cg CGO,Le Havre,0.2,28,34,82.4,514,105,8,11,72.7,15,15,100.0,3,6,50.0,0,0.0,0.0,0.0,0,3,0,0,5,MF,29-104,1995
346,Christ Mbondi,fr FRA,Reims,0.0,1,1,100.0,10,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,FW,19-226,2004
347,Facundo Medina,ar ARG,Lens,30.2,1823,2112,86.3,32296,11954,738,813,90.8,885,958,92.4,149,256,58.2,3,1.8,2.6,+1.2,25,205,31,7,219,DF,25-005,1999
348,Bamo Meïté,ci CIV,Marseille,7.1,462,507,91.1,7455,2273,216,229,94.3,206,221,93.2,25,36,69.4,0,0.0,0.1,0.0,1,26,1,0,29,DF,22-182,2001
349,Bamo Meïté,ci CIV,Lorient,1.6,48,56,85.7,761,413,23,25,92.0,22,22,100.0,2,7,28.6,0,0.0,0.0,0.0,0,2,1,0,1,DF,22-182,2001
